"Zip","topic","displayTopic","indicator","value","type"
"06702","age","Age","Total population",3002,"table"
"06704","age","Age","Total population",26014,"table"
"06705","age","Age","Total population",27207,"table"
"06706","age","Age","Total population",14994,"table"
"06708","age","Age","Total population",28182,"table"
"06710","age","Age","Total population",10178,"table"
"Waterbury","age","Age","Total population",109551,"table"
"Connecticut","age","Age","Total population",3593222,"table"
"06702","age","Age","Population ages 0-17",449,"table"
"06704","age","Age","Population ages 0-17",6641,"table"
"06705","age","Age","Population ages 0-17",6538,"table"
"06706","age","Age","Population ages 0-17",4073,"table"
"06708","age","Age","Population ages 0-17",6230,"table"
"06710","age","Age","Population ages 0-17",3508,"table"
"Waterbury","age","Age","Population ages 0-17",27390,"table"
"Connecticut","age","Age","Population ages 0-17",784736,"table"
"06702","age","Age","Percent ages 0-17",0.15,"map"
"06704","age","Age","Percent ages 0-17",0.255,"map"
"06705","age","Age","Percent ages 0-17",0.24,"map"
"06706","age","Age","Percent ages 0-17",0.272,"map"
"06708","age","Age","Percent ages 0-17",0.221,"map"
"06710","age","Age","Percent ages 0-17",0.345,"map"
"Waterbury","age","Age","Percent ages 0-17",0.25,"table"
"Connecticut","age","Age","Percent ages 0-17",0.218,"table"
"06702","age","Age","Population ages 65+",839,"table"
"06704","age","Age","Population ages 65+",2833,"table"
"06705","age","Age","Population ages 65+",3606,"table"
"06706","age","Age","Population ages 65+",1585,"table"
"06708","age","Age","Population ages 65+",3871,"table"
"06710","age","Age","Population ages 65+",664,"table"
"Waterbury","age","Age","Population ages 65+",13413,"table"
"Connecticut","age","Age","Population ages 65+",542278,"table"
"06702","age","Age","Percent ages 65+",0.279,"map"
"06704","age","Age","Percent ages 65+",0.109,"map"
"06705","age","Age","Percent ages 65+",0.133,"map"
"06706","age","Age","Percent ages 65+",0.106,"map"
"06708","age","Age","Percent ages 65+",0.137,"map"
"06710","age","Age","Percent ages 65+",0.065,"map"
"Waterbury","age","Age","Percent ages 65+",0.122,"table"
"Connecticut","age","Age","Percent ages 65+",0.151,"table"
"06702","race","Race and ethnicity","Total population",3002,"table"
"06704","race","Race and ethnicity","Total population",26014,"table"
"06705","race","Race and ethnicity","Total population",27207,"table"
"06706","race","Race and ethnicity","Total population",14994,"table"
"06708","race","Race and ethnicity","Total population",28182,"table"
"06710","race","Race and ethnicity","Total population",10178,"table"
"Waterbury","race","Race and ethnicity","Total population",109551,"table"
"Connecticut","race","Race and ethnicity","Total population",3593222,"table"
"06702","race","Race and ethnicity","Hispanic population",1486,"table"
